"","past_pat_year","past_pat","pasture_id","patch_id","year","BOBO_1","BOBO_2","BOBO_3","BOBO_4","BOBO_5","clouds_1","clouds_2","clouds_3","clouds_4","clouds_5","wind_1","wind_2","wind_3","wind_4","wind_5","julian_date_1","julian_date_2","julian_date_3","julian_date_4","julian_date_5","start_time_1","start_time_2","start_time_3","start_time_4","start_time_5","observer_1","observer_2","observer_3","observer_4","observer_5","area_surveyed","transect_length"
"103","KLN_W_2011","KLN_W","KLN","W",2011,1,1,0,0,0,0.36,0.38,0.88,0.13,0.13,3,3,2,1,2,139,147,162,175,183,7.85,7.2,6.48333333333333,6.55,6.56666666666667,"TL","SR","CP","CP","CD",3,300
"104","KLN_W_2013","KLN_W","KLN","W",2013,0,0,1,0,0,0.88,0.88,0.38,0.38,0.38,3,1,1,2,4,143,156,168,177,194,6.15,6.3,7.71666666666667,6.78333333333333,8.78333333333333,"CD","AM","SR","AM","CD",3,300
"105","KLN_W_2014","KLN_W","KLN","W",2014,0,0,4,1,2,0.38,0.13,0.63,0.13,0.38,2,4,3,2,1,141,152,168,184,200,8.3,6.9,6.88333333333333,7.28333333333333,6.58333333333333,"CD","SR","CD","CD","ORG",3,300
"106","KLN_W_2016","KLN_W","KLN","W",2016,2,2,1,2,0,0.38,0.38,0.13,0.63,0.88,2,2,4,4,2,151,168,179,192,215,7.03333333333333,7.4,8.18333333333333,9.7,6.65,"SBN","ACW","SR","SBN","JJC",3,300
"107","KLN_W_2017","KLN_W","KLN","W",2017,1,0,0,1,0,0.63,0.13,0.13,0.13,0.13,1,4,1,1,2,152,161,178,189,204,8.93333333333333,7.46666666666667,6.65,6.36666666666667,8.06666666666667,"JJC","SR","JJC","ALL","JJC",3,300
"108","KLN_W_2023","KLN_W","KLN","W",2023,1,1,0,0,0,0.88,0.13,0.63,0.88,0.88,2.29,1,2,3,2,158,171,178,189,194,9.6,6.95,6.61666666666667,9.38333333333333,6.13333333333333,"WPT","JJC","JLS","JJC","JLS",2.75,275
"109","KLT_E_2007","KLT_E","KLT","E",2007,3,1,2,5,2,0.88,0.63,0.38,0.13,0.13,4,2,2,2,1,143,150,159,166,177,7.72,6.55,6.41666666666667,8.05,6.31666666666667,"FP","CW","CB","CW","JF",4.94,494
"110","KLT_E_2008","KLT_E","KLT","E",2008,1,0,4,1,0,0.63,0.63,0.63,0.13,0.38,4,4,3,1,2,134,140,146,153,170,8.28333333333333,8.33333333333333,7.78333333333333,9.03333333333333,8.63333333333333,"CW","SR","CW","CW","FP",4.94,494
"111","KLT_E_2009","KLT_E","KLT","E",2009,0,2,8,1,0,0.38,0.38,0.38,0.63,0.13,1,2,1,2,2,134,174,187,201,203,6.48333333333333,6.41666666666667,6.53333333333333,8.13333333333333,8.01666666666667,"SR","FP","EH","FP","EH",4.94,494
"112","KLT_E_2010","KLT_E","KLT","E",2010,1,0,0,4,2,0.13,0.13,0.38,0.13,0.13,2,3,4,1,1,139,149,168,181,190,8.01666666666667,8.06666666666667,7.9,6.56666666666667,6.76666666666667,"SR","SR","SR","TL","TL",3,300
"113","KLT_E_2013","KLT_E","KLT","E",2013,0,0,1,0,0,0.13,0.38,0.38,0.38,0.38,3,1,2,2,2,144,156,168,177,189,6.96666666666667,6.31666666666667,8.08333333333333,6.41666666666667,6.33333333333333,"SR","AM","SR","SR","AM",3,300
"114","KLT_E_2015","KLT_E","KLT","E",2015,2,0,0,0,3,0.88,0.13,0.13,0.38,0.63,4,3,2,2,3,145,161,174,195,215,8.66666666666667,6.36666666666667,6.21666666666667,6.51666666666667,6.31666666666667,"SBN","BSV","SR","BSV","SR",3,300
"115","KLT_E_2016","KLT_E","KLT","E",2016,0,1,0,1,1,0.38,0.13,0.38,0.38,0.38,2,1,4,4,2,151,165,177,192,210,8.48333333333333,8.51666666666667,6.58333333333333,7.33333333333333,6.6,"SBN","JJC","SR","SBN","ACW",3,300
"116","KLT_E_2017","KLT_E","KLT","E",2017,1,0,0,0,0,0.38,0.13,0.13,0.13,0.13,1,3,2,1,2,146,162,178,190,205,9.35,6.06666666666667,6.43333333333333,6.38333333333333,6.61666666666667,"ALL","JJC","ALL","JJC","JD",3,300
"117","KLT_E_2018","KLT_E","KLT","E",2018,4,0,0,0,2,0.13,0.38,0.38,0.13,0.13,1,1,3,1,2,146,161,175,190,202,6.4,6.46666666666667,7.1,7.56666666666667,7.8,"JJC","TMS","SR","TMS","TMS",3,300
"118","KLT_E_2021","KLT_E","KLT","E",2021,1,2,2,0,0,0.38,0.13,0.63,0.38,0.63,3,2,1,1,2,150,166,179,187,199,6.61666666666667,8.3,7.73333333333333,7.25,6.75,"WPT","JJC","HKG","JNA","JEM",3,300
"119","KLT_E_2022","KLT_E","KLT","E",2022,0,1,8,3,0,0.63,0.13,0.38,0.88,0.63,2,2,2,2,4,155,166,177,192,196,6.4,6.43333333333333,6.26666666666667,7.16666666666667,6.63333333333333,"WPT","NGP","JJC","HKG","NGP",3,300
"120","KLT_E_2023","KLT_E","KLT","E",2023,1,2,0,0,5,0.13,0.13,0.63,0.13,0.63,3,2,1,3,1,154,172,178,191,194,6.71666666666667,6.8,8,8.06666666666667,6.4,"WPT","JJC","HKG","JLS","JLS",3,300
"121","KLT_S_2007","KLT_S","KLT","S",2007,1,0,0,2,1,0.63,0.88,0.13,0.13,0.13,3,3,2,2,1,142,150,159,166,177,7.53333333333333,6.25,6.5,8.26666666666667,7.26666666666667,"FP","JF","CB","CW","JF",5.65,565
"122","KLT_S_2008","KLT_S","KLT","S",2008,4,1,0,0,1,0.63,0.38,0.63,0.13,0.38,4,3,3,1,2,134,140,146,153,176,7.9,8.13333333333333,7.46666666666667,8.91666666666667,5.83333333333333,"CW","JF","CW","JF","CW",5.65,565
"123","KLT_S_2009","KLT_S","KLT","S",2009,0,1,6,1,0,0.38,0.13,0.38,0.38,0.13,2,2,1,3,2,134,168,187,201,203,7.33333333333333,7.43333333333333,7.48333333333333,7.7,8.7,"SR","SR","EH","FP","EH",5.65,565
"124","KLT_S_2013","KLT_S","KLT","S",2013,1,0,0,0,3,0.13,0.38,0.38,0.38,0.88,3,1,2,3,2,144,156,168,177,189,7.5,7.5,8.85,7.23333333333333,7.65,"SR","AM","SR","SR","AM",3,300
"125","KLT_S_2016","KLT_S","KLT","S",2016,0,2,0,0,2,0.13,0.13,0.38,0.63,0.38,2,1,3,3,2,151,165,177,192,210,9.51666666666667,9.85,7.3,8.61666666666667,8.55,"SBN","JJC","SR","SBN","ACW",3,300
"126","KLT_S_2017","KLT_S","KLT","S",2017,0,2,0,0,0,0.13,0.13,0.13,0.13,0.13,1,3,2,1,2,148,162,178,190,205,6.03333333333333,7.01666666666667,7.58333333333333,7.53333333333333,7.78333333333333,"ALL","JJC","ALL","JJC","JD",3,300
"127","KLT_S_2018","KLT_S","KLT","S",2018,0,1,0,0,0,0.13,0.38,0.38,0.13,0.13,1,1,3,2,3,146,161,175,190,202,7.6,7.18333333333333,8.23333333333333,8.35,8.45,"JJC","TMS","SR","TMS","TMS",3,300
"128","KLT_S_2021","KLT_S","KLT","S",2021,1,1,9,6,0,0.38,0.13,0.63,0.13,0.13,3,2,1,2,1,150,166,179,187,199,8.5,9.35,9.3,8.75,7.91666666666667,"WPT","JJC","HKG","JNA","JEM",3,300
"129","KLT_S_2022","KLT_S","KLT","S",2022,0,7,1,1,0,0.63,0.13,0.38,0.63,0.63,2,2,1,1,4,155,166,177,192,196,7.68333333333333,7.71666666666667,7.41666666666667,8.26666666666667,7.61666666666667,"WPT","NGP","JJC","HKG","NGP",3,300
"130","KLT_S_2023","KLT_S","KLT","S",2023,0,2,1,0,0,0.13,0.13,0.63,0.13,0.13,3,3,1,3,1,154,172,178,191,194,7.95,7.58333333333333,9.26666666666667,8.95,7.45,"WPT","JJC","HKG","JLS","HKG",3,300
"131","KLT_W_2007","KLT_W","KLT","W",2007,NA,2,6,3,1,0.36,0.88,0.13,0.13,0.13,2.29,4,4,2,1,147.14,150,159,166,177,7.72,6.76666666666667,6.2,7.81666666666667,6.13333333333333,NA,"JF","CB","CW","JF",6.76,676
"132","KLT_W_2008","KLT_W","KLT","W",2008,4,4,3,0,1,0.88,0.63,0.88,0.13,0.13,4,4,3,1,2,134,140,146,153,170,8,8.16666666666667,7.51666666666667,8.93333333333333,8.46666666666667,"JF","SR","JF","CW","FP",6.76,676
"133","KLT_W_2009","KLT_W","KLT","W",2009,0,3,2,4,0,0.38,0.38,0.38,0.38,0.13,2,2,1,2,2,134,174,187,201,203,6.35,6.26666666666667,6.35,8.3,7.95,"SR","FP","EH","FP","EH",6.76,676
"134","KLT_W_2010","KLT_W","KLT","W",2010,0,1,2,1,0,0.13,0.13,0.38,0.13,0.13,2,2,4,1,1,139,149,168,181,190,7.91666666666667,7.93333333333333,7.8,6.35,6.61666666666667,"SR","SR","SR","TL","TL",6,600
"135","KLT_W_2011","KLT_W","KLT","W",2011,0,1,0,1,2,0.13,0.38,0.63,0.38,0.13,3,3,3,4,3,143,148,162,172,183,8.68333333333333,7.13333333333333,7.26666666666667,6.5,7.45,"CP","SR","CP","CP","CD",6,600
"136","KLT_W_2013","KLT_W","KLT","W",2013,0,5,4,5,0,0.13,0.38,0.38,0.38,0.38,3,1,1,2,2,144,156,168,177,189,6.86666666666667,6.75,7.95,6.26666666666667,6.18333333333333,"SR","AM","SR","SR","AM",6,600
"137","KLT_W_2015","KLT_W","KLT","W",2015,0,0,0,2,0,0.88,0.13,0.13,0.38,0.63,4,3,2,2,3,145,161,174,195,215,8.51666666666667,6.25,6.08333333333333,6.3,6.21666666666667,"SBN","BSV","SR","BSV","SR",6,600
"138","KLT_W_2016","KLT_W","KLT","W",2016,2,1,1,1,10,0.38,0.13,0.38,0.38,0.38,3,1,3,2,2,151,165,177,192,210,8.26666666666667,8.38333333333333,6.46666666666667,7.06666666666667,6.3,"SBN","JJC","SR","SBN","ACW",6,600
"139","KLT_W_2017","KLT_W","KLT","W",2017,2,0,0,1,0,0.13,0.13,0.13,0.13,0.13,1,3,2,1,1,148,162,178,190,205,7.21666666666667,5.93333333333333,6.2,6.16666666666667,6.46666666666667,"ALL","JJC","ALL","JJC","JD",6,600
"140","KLT_W_2018","KLT_W","KLT","W",2018,0,4,5,0,1,0.13,0.38,0.38,0.13,0.13,1,1,3,1,2,146,161,175,190,202,6.11666666666667,6.18333333333333,6.98333333333333,7.41666666666667,7.65,"JJC","TMS","SR","TMS","TMS",6,600
"141","KLT_W_2021","KLT_W","KLT","W",2021,6,5,2,4,1,0.38,0.13,0.63,0.38,0.63,3,2,1,1,2,150,166,179,187,199,6.23333333333333,8.13333333333333,7.56666666666667,6.96666666666667,6.53333333333333,"WPT","JJC","HKG","JNA","JEM",6,600
"142","KLT_W_2022","KLT_W","KLT","W",2022,3,7,6,5,8,0.63,0.13,0.38,0.88,0.63,2,2,2,2,4,155,166,177,192,196,6.15,6.13333333333333,6.06666666666667,6.96666666666667,6.45,"WPT","NGP","JJC","HKG","NGP",6,600
"143","KLT_W_2023","KLT_W","KLT","W",2023,2,2,0,0,0,0.13,0.13,0.63,0.13,0.63,3,1,1,3,1,154,172,178,191,194,6.53333333333333,6.65,7.8,7.9,6.16666666666667,"WPT","JJC","HKG","JLS","HKG",6,600
"144","LTR_C_2007","LTR_C","LTR","C",2007,2,0,1,0,0,0.13,0.13,0.13,0.13,0.13,2,2,3,3,2,141,149,155,165,177,8.41666666666667,7.88333333333333,6.31666666666667,6.21666666666667,8.11666666666667,"JF","CW","JF","CW","FP",5.97,597
"145","LTR_C_2008","LTR_C","LTR","C",2008,3,4,2,1,0,0.63,0.63,0.13,0.63,0.88,3,2,1,2,2,131,136,142,150,160,9.73333333333333,8.83333333333333,6.23333333333333,6.21666666666667,8.06666666666667,"JF","CW","SR","FP","CW",5.97,597
"146","LTR_C_2009","LTR_C","LTR","C",2009,1,5,3,0,0,0.13,0.13,0.88,0.13,0.88,1,1,3,1,4,155,160,167,188,190,8.41666666666667,6.68333333333333,6.66666666666667,7.9,8.13333333333333,"SR","EH","SR","EH","SR",5.97,597
"147","LTR_C_2010","LTR_C","LTR","C",2010,2,1,2,0,0,0.13,0.13,0.13,0.38,0.63,1,1,3,5,3,145,152,160,177,189,8.26666666666667,8.66666666666667,6.75,8.31666666666667,6.63333333333333,"SR","TL","SR","SR","SR",5,500
"148","LTR_C_2011","LTR_C","LTR","C",2011,0,1,0,0,0,0.38,0.38,0.13,0.63,0.13,4,4,3,3,3,146,154,158,171,182,7.25,6.75,8.21666666666667,8.53333333333333,6.9,"SR","CP","SR","CD","SR",5,500
"149","LTR_C_2012","LTR_C","LTR","C",2012,3,3,3,3,0,0.88,0.38,0.13,0.13,0.38,5,4,2,4,4,141,148,159,171,178,6.35,8.7,6.36666666666667,6.55,6.66666666666667,"CD","SR","CD","SR","CD",5,500
"150","LTR_C_2016","LTR_C","LTR","C",2016,2,0,0,0,0,0.13,0.38,0.38,0.38,0.38,2,1,1,2,2,149,164,180,195,213,7.33333333333333,6.21666666666667,8.16666666666667,6.05,6.48333333333333,"SR","JJC","ACW","SBN","JJC",5,500
"151","LTR_C_2018","LTR_C","LTR","C",2018,2,0,0,0,0,0.13,0.88,0.88,0.13,0.63,1,4,5,1,2,146,160,173,189,199,7.9,6.65,6.3,7.76666666666667,6.28333333333333,"TMS","SR","BJE","TMS","JJC",5,500
"152","LTR_C_2023","LTR_C","LTR","C",2023,0,1,0,0,0,0.88,0.63,0.38,0.88,0.38,2,2,2,4,3,158,168,178,189,200,7.15,8.66666666666667,6.16666666666667,6.48333333333333,6.46666666666667,"WPT","JJC","WPT","HKG","JLS",5,500
"153","LTR_E_2007","LTR_E","LTR","E",2007,4,1,1,0,2,0.13,0.38,0.13,0.13,0.13,2,3,3,2,3,141,148,155,165,177,8.7,8.43333333333333,6.06666666666667,7.21666666666667,8.98333333333333,"JF","JF","JF","CW","FP",6.36,636
"154","LTR_E_2008","LTR_E","LTR","E",2008,2,0,1,3,2,0.63,0.63,0.13,0.38,0.88,3,2,1,2,2,131,136,142,149,160,9.33333333333333,8.36666666666667,7.76666666666667,7.41666666666667,8.18333333333333,"JF","JF","SR","FP","CW",6.36,636
"155","LTR_E_2009","LTR_E","LTR","E",2009,5,3,1,0,0,0.13,0.13,0.88,0.13,0.88,1,1,3,1,4,155,160,167,188,190,8.56666666666667,7.88333333333333,7.58333333333333,8.65,8.35,"SR","EH","SR","EH","SR",6.36,636
"156","LTR_E_2010","LTR_E","LTR","E",2010,2,0,0,6,0,0.13,0.13,0.13,0.13,0.63,2,1,3,5,3,145,152,160,177,189,9.05,9.66666666666667,7.5,9.01666666666667,7.35,"SR","TL","SR","SR","SR",6,600
"157","LTR_E_2011","LTR_E","LTR","E",2011,1,2,3,0,0,0.38,0.38,0.13,0.38,0.13,4,3,3,4,3,146,154,158,171,182,7.96666666666667,7.45,8.86666666666667,9.3,7.63333333333333,"SR","CP","SR","CD","SR",6,600
"158","LTR_E_2012","LTR_E","LTR","E",2012,2,4,8,2,5,0.88,0.38,0.38,0.13,0.13,4,4,2,4,4,141,148,159,171,178,7.26666666666667,8.7,7.36666666666667,7.65,7.53333333333333,"CD","SR","CD","SR","CD",6,600
"159","LTR_E_2013","LTR_E","LTR","E",2013,1,2,2,0,0,0.88,0.13,0.88,0.38,0.38,3,1,3,1,2,143,154,163,178,189,7.65,8.1,7.16666666666667,7.51666666666667,9.08333333333333,"SR","AM","CD","CD","AM",6,600
"160","LTR_E_2016","LTR_E","LTR","E",2016,0,0,0,0,1,0.13,0.38,0.38,0.38,0.38,2,1,1,3,2,149,164,180,195,213,8.11666666666667,7.56666666666667,9.33333333333333,7.18333333333333,7.36666666666667,"SR","JJC","ACW","SBN","JJC",6,600
"161","LTR_E_2017","LTR_E","LTR","E",2017,0,0,0,1,0,0.88,0.13,0.13,0.13,0.13,1,3,2,3,1,147,161,175,190,204,8.5,6.65,8.73333333333333,8.76666666666667,9.26666666666667,"ALL","JD","JJC","JD","JD",6,600
"162","LTR_E_2018","LTR_E","LTR","E",2018,2,0,1,1,0,0.13,0.88,0.88,0.13,0.63,1,4,4,1,1,126,160,173,189,199,8.71666666666667,7.26666666666667,7.06666666666667,8.5,7.1,"TMS","SR","BJE","TMS","JJC",6,600
"163","LTR_E_2023","LTR_E","LTR","E",2023,1,0,1,0,0,0.88,0.63,0.63,0.88,0.38,2,2,2,2,3,158,168,178,189,200,7.61666666666667,9.31666666666667,7.48333333333333,7.75,7.51666666666667,"WPT","JJC","WPT","HKG","JLS",6,600
"164","LTR_W_2007","LTR_W","LTR","W",2007,1,0,1,0,0,0.13,0.13,0.13,0.13,0.13,2,2,3,2,2,141,149,155,165,177,9.7,8.11666666666667,6.46666666666667,6.43333333333333,8.3,"FP","CW","JF","CW","FP",6.53,653
"165","LTR_W_2008","LTR_W","LTR","W",2008,2,2,0,3,1,0.63,0.63,0.13,0.63,0.88,3,2,1,3,2,131,136,142,150,160,8.5,8.2,6.85,6.36666666666667,8.06666666666667,"JF","CW","SR","FP","JF",6.53,653
"166","LTR_W_2009","LTR_W","LTR","W",2009,3,6,2,3,3,0.13,0.13,0.88,0.13,0.88,1,1,2,1,3,155,160,167,188,190,9.33333333333333,6.88333333333333,6.85,8.01666666666667,7.7,"SR","EH","SR","EH","SR",6.53,653
"167","LTR_W_2010","LTR_W","LTR","W",2010,3,2,1,2,1,0.36,0.13,0.13,0.38,0.63,2,1,3,5,3,145,152,160,177,189,8.35,8.86666666666667,6.88333333333333,8.41666666666667,6.75,"SR","TL","SR","SR","SR",6,600
"168","LTR_W_2011","LTR_W","LTR","W",2011,0,1,2,3,0,0.38,0.38,0.13,0.63,0.13,4,4,3,3,3,146,154,158,171,182,7.36666666666667,6.9,8.31666666666667,8.63333333333333,7.01666666666667,"SR","CP","SR","CD","SR",6,600
"169","LTR_W_2012","LTR_W","LTR","W",2012,4,4,3,2,0,0.88,0.38,0.13,0.13,0.38,4,4,2,5,4,141,148,159,171,178,6.46666666666667,7.93333333333333,6.46666666666667,6.71666666666667,6.85,"CD","SR","CD","SR","CD",6,600
"170","LTR_W_2013","LTR_W","LTR","W",2013,0,0,1,1,1,0.88,0.13,0.88,0.38,0.88,3,1,1,1,2,143,154,163,178,189,7.2,7.15,6.35,6.75,8.3,"SR","AM","CD","CD","AM",6,600
"171","LTR_W_2015","LTR_W","LTR","W",2015,3,4,4,2,0,0.88,0.63,0.13,0.88,0.38,3,2,3,4,2,149,157,174,194,214,9.9,6.63333333333333,8.86666666666667,8.51666666666667,7.38333333333333,"BSV","SR","BSV","SR","BSV",6,600
"172","LTR_W_2016","LTR_W","LTR","W",2016,1,0,0,0,0,0.13,0.38,0.38,0.38,0.38,2,1,1,2,2,149,164,180,195,213,7.46666666666667,6.45,8.4,6.28333333333333,6.66666666666667,"SR","JJC","ACW","SBN","JJC",6,600
"173","LTR_W_2022","LTR_W","LTR","W",2022,0,1,0,0,0,0.13,0.63,0.38,0.13,0.88,3,3,2,2,2,158,166,180,191,198,7.93333333333333,6.51666666666667,6.38333333333333,6.7,8.31666666666667,"NGP","JJC","HKG","JLS","JJC",6,600
"174","PAW_E_2007","PAW_E","PAW","E",2007,11,8,7,10,3,0.13,0.13,0.88,0.38,0.13,2,2,4,2,2,141,149,169,176,186,7.2,8.33333333333333,8.65,6.53333333333333,8.5,"FP","CB","FP","JF","CW",4.5,449.85
"175","PAW_E_2008","PAW_E","PAW","E",2008,5,2,1,4,2,0.13,0.38,0.63,0.88,0.88,2,5,3,3,1,135,141,146,157,165,8.03333333333333,6.96666666666667,6.61666666666667,9.25,7.95,"CW","JF","CW","SR","CW",4.5,449.85
"176","PAW_E_2009","PAW_E","PAW","E",2009,3,3,8,1,0,0.38,0.63,0.38,0.13,0.38,1,4,2,2,1,147,162,168,180,187,7.35,7.35,6.96666666666667,7.16666666666667,9.26666666666667,"EH","SR","JO","FP","EH",4.5,449.85
"177","PAW_E_2010","PAW_E","PAW","E",2010,2,3,3,0,1,0.13,0.38,0.13,0.13,0.63,1,1,3,3,3,145,152,181,190,196,7.3,7.28333333333333,8.71666666666667,7.21666666666667,7.61666666666667,"SR","SR","SR","SR","SR",3,300
"178","PAW_E_2011","PAW_E","PAW","E",2011,1,5,4,4,1,0.38,0.63,0.88,0.63,0.13,3,3,4,4,4,144,155,164,172,183,7.96666666666667,7.78333333333333,7.76666666666667,8.65,7.85,"SR","SR","SR","CP","CP",3,300
"179","PAW_E_2012","PAW_E","PAW","E",2012,6,3,6,3,1,0.88,0.13,0.38,0.38,0.13,4,2,2,2,3,143,151,160,167,180,8.9,7.53333333333333,9.33333333333333,9.05,7.48333333333333,"CD","SR","CD","SR","CD",3,300
"180","PAW_E_2013","PAW_E","PAW","E",2013,1,2,3,2,3,0.38,0.13,0.88,0.13,0.13,4,3,2,3,1,148,157,168,180,195,8.71666666666667,9.05,7.31666666666667,7.83333333333333,8.03333333333333,"SR","SR","CD","CD","AM",3,300
"181","PAW_E_2014","PAW_E","PAW","E",2014,10,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,177,158.38,169.67,182.77,195.25,7.7,7.61,7.59,7.79,7.82,"ORG",NA,NA,NA,NA,3,300
"182","PAW_E_2015","PAW_E","PAW","E",2015,1,2,0,0,0,0.88,0.63,0.38,0.13,0.63,2,4,2,2,2,149,158,172,203,215,8.4,8.51666666666667,9.35,7.13333333333333,7.51666666666667,"BSV","BSV","BSV","SR","BSV",3,300
"183","PAW_E_2016","PAW_E","PAW","E",2016,1,0,4,0,0,0.38,0.13,0.38,0.13,0.38,4,1,1,3,2,152,167,179,192,217,9.25,7.93333333333333,8.88333333333333,8.58333333333333,8.61666666666667,"SBN","JJC","SBN","SR","ACW",3,300
"184","PAW_S_2007","PAW_S","PAW","S",2007,8,10,10,3,0,0.13,0.13,0.88,0.38,0.13,1,3,3,2,2,141,149,169,176,186,6.56666666666667,8.31666666666667,8.4,6.43333333333333,8.38333333333333,"JF","FP","JF","FP","JF",4.09,409.16
"185","PAW_S_2008","PAW_S","PAW","S",2008,1,1,0,2,2,0.13,0.38,0.63,0.88,0.88,2,5,3,2,2,135,141,146,157,165,7.66666666666667,6.81666666666667,6.28333333333333,8.9,7.73333333333333,"CW","CW","CW","SR","SR",4.09,409.16
"186","PAW_S_2009","PAW_S","PAW","S",2009,3,6,6,5,0,0.38,0.88,0.13,0.13,0.38,1,4,1,2,1,147,162,168,180,187,6.66666666666667,6.98333333333333,6.91666666666667,6.75,8.85,"EH","SR","EH","FP","EH",4.09,409.16
"187","PAW_S_2010","PAW_S","PAW","S",2010,3,0,2,2,0,0.38,0.38,0.13,0.13,0.63,1,1,3,4,3,145,152,181,190,196,6.81666666666667,6.86666666666667,8.18333333333333,6.78333333333333,7.13333333333333,"SR","SR","SR","SR","SR",3,300
"188","PAW_S_2011","PAW_S","PAW","S",2011,0,2,6,7,2,0.38,0.63,0.88,0.63,0.13,3,3,4,4,4,144,155,162,172,183,7.46666666666667,7.28333333333333,7.18333333333333,8.1,7.4,"SR","SR","CP","CP","CP",3,300
"189","PAW_S_2012","PAW_S","PAW","S",2012,1,2,1,1,1,0.88,0.13,0.38,0.38,0.13,4,2,2,2,4,141,151,160,167,180,8.16666666666667,6.76666666666667,8.4,8.45,6.83333333333333,"CD","SR","CD","SR","CD",3,300
"190","PAW_S_2013","PAW_S","PAW","S",2013,2,0,1,0,0,0.38,0.13,0.63,0.13,0.13,4,3,2,4,2,148,157,168,180,195,8.36666666666667,8.53333333333333,6.5,7.21666666666667,6.76666666666667,"SR","SR","CD","CD","AM",3,300
"191","PAW_S_2014","PAW_S","PAW","S",2014,6,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,177,158.38,169.67,182.77,195.25,6.33333333333333,7.61,7.59,7.79,7.82,"ORG",NA,NA,NA,NA,3,300
"192","PAW_S_2015","PAW_S","PAW","S",2015,2,3,1,0,0,0.88,0.63,0.38,0.13,0.38,2,4,2,2,2,149,158,172,203,215,7.63333333333333,7.83333333333333,8.78333333333333,6.58333333333333,6.88333333333333,"BSV","BSV","BSV","SR","BSV",3,300
"193","PAW_S_2016","PAW_S","PAW","S",2016,1,1,0,0,0,0.38,0.13,0.38,0.13,0.38,3,1,1,3,2,152,167,179,192,217,8.51666666666667,6.8,7.75,8.18333333333333,6.96666666666667,"SBN","JJC","SBN","SR","ACW",3,300
"194","PAW_S_2017","PAW_S","PAW","S",2017,0,1,1,0,0,0.13,0.13,0.13,0.38,0.13,1,1,2,3,2,151,160,176,188,203,6.46666666666667,6.31666666666667,8.21666666666667,8.33333333333333,8.73333333333333,"JJC","ALL","JD","ALL","JJC",3,300
"195","PAW_S_2018","PAW_S","PAW","S",2018,2,1,1,0,0,0.13,0.13,0.88,0.38,0.13,2,1,3,1,3,147,159,173,188,201,6.6,7.76666666666667,7.73333333333333,6.46666666666667,6.96666666666667,"JJC","BJE","TMS","TMS","JJC",3,300
"196","PAW_W_2007","PAW_W","PAW","W",2007,3,5,6,0,0,0.13,0.13,0.88,0.38,0.13,1,3,3,2,2,141,149,169,176,186,6.53333333333333,8.41666666666667,8.65,6.38333333333333,8.45,"CW","FP","JF","CW","FP",4.04,403.73
"197","PAW_W_2008","PAW_W","PAW","W",2008,1,1,2,1,3,0.13,0.38,0.63,0.88,0.88,2,5,3,3,2,135,141,146,157,165,7.85,6.96666666666667,6.45,9.05,7.91666666666667,"CW","CW","CW","SR","SR",4.04,403.73
"198","PAW_W_2009","PAW_W","PAW","W",2009,5,1,3,0,2,0.38,0.88,0.13,0.13,0.38,1,4,1,2,1,147,162,168,180,187,6.93333333333333,7.15,7.16666666666667,7,9.01666666666667,"EH","SR","EH","FP","EH",4.04,403.73
"199","PAW_W_2010","PAW_W","PAW","W",2010,2,1,4,1,0,0.13,0.38,0.13,0.13,0.63,1,1,3,2,3,145,152,181,190,196,6.96666666666667,7.01666666666667,8.38333333333333,6.91666666666667,7.28333333333333,"SR","SR","SR","SR","SR",3,300
"200","PAW_W_2011","PAW_W","PAW","W",2011,2,1,3,5,1,0.38,0.63,0.88,0.63,0.13,3,3,4,4,4,144,155,164,172,183,7.65,7.45,7.41666666666667,8.28333333333333,7.56666666666667,"SR","SR","SR","CP","CP",3,300
"201","PAW_W_2012","PAW_W","PAW","W",2012,1,2,0,5,3,0.88,0.13,0.38,0.38,0.13,4,2,2,2,3,143,151,160,167,180,8.38333333333333,7.05,8.58333333333333,8.65,7.01666666666667,"CD","SR","CD","SR","CD",3,300
"202","PAW_W_2013","PAW_W","PAW","W",2013,0,3,0,1,0,0.38,0.13,0.63,0.13,0.13,4,3,2,3,1,148,157,168,180,195,8.5,8.68333333333333,6.76666666666667,7.35,7.11666666666667,"SR","SR","CD","CD","AM",3,300
"203","PAW_W_2014","PAW_W","PAW","W",2014,4,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,177,158.38,169.67,182.77,195.25,6.75,7.61,7.59,7.79,7.82,"ORG",NA,NA,NA,NA,3,300
"204","PAW_W_2015","PAW_W","PAW","W",2015,1,1,1,0,1,0.88,0.63,0.38,0.13,0.63,3,4,2,2,2,148,158,172,203,215,7.9,8.13333333333333,9,6.78333333333333,7.1,"BSV","BSV","BSV","SR","BSV",3,300
"205","PAW_W_2016","PAW_W","PAW","W",2016,0,0,12,0,0,0.38,0.13,0.38,0.13,0.38,4,1,1,3,2,152,167,179,192,217,8.78333333333333,7.18333333333333,8.15,8.33333333333333,7.48333333333333,"SBN","JJC","SBN","SR","ACW",3,300
